ratio_of_positive_carc,number_of_experiments_carc,cas_number,substance_name,use_carc,positive_carc,positive_stringent_carc,negative_carc,negative_stringent_carc,ratio_of_positive_mut,number_of_experiments_mut,use_mut,positive_mut,positive_stringent_mut,negative_mut,negative_stringent_mut,positive,positive_stringent,negative,negative_stringent,use,smiles
,,31698-14-3,ANCITABINE,,,,,,0.0,4.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",OC[C@H]1O[C@@H]2[C@@H](OC3=NC(=N)C=CN23)[C@@H]1O
,,3173-72-6,"1,5-NAPHTHYLENE DIISOCYANATE",,,,,,0.0,12.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",O=C=Nc1cccc2c(cccc12)N=C=O
,,3175-89-1,USHINSUNINE,,,,,,1.0,2.0,,1.0,1.0,0.0,0.0,1,1,0,0,",",CN1CCc2cc3OCOc3c4c5ccccc5[C@@H](O)[C@@H]1c24
,,3179-47-3,N-DECYL METHACRYLATE,,,,,,0.0,12.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",CCCCCCCCCCOC(=O)C(C)=C
,,3179-90-6,C.I. DISPERSE BLUE 7,,,,,,1.0,2.0,DYES,1.0,1.0,0.0,0.0,1,1,0,0,"DYES,",OCCNc1ccc(NCCO)c2C(=O)c3c(O)ccc(O)c3C(=O)c12
,,318-98-9,PROPRANOLOL HYDROCHLORIDE,,,,,,0.0,4.0,PHARMACEUTICAL,0.0,0.0,1.0,1.0,0,0,1,1,"PHARMACEUTICAL,",[H+].[Cl-].CC(C)NCC(O)COc1cccc2ccccc12
,,3180-21-0,5-FORMYLURIDINE,,,,,,0.0,1.0,,0.0,0.0,1.0,0.0,0,0,1,0,",",OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N2C=C(C=O)C(=O)NC2=O
,,3182-75-0,N-NITRO-N-BUTYLAMINE,,,,,,1.0,1.0,,1.0,0.0,0.0,0.0,1,0,0,0,",",CCCCN[N+]([O-])=O
,,31876-38-7,MONILIFORMIN,,,,,,0.0,6.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",[K+].O=C1[CH-]C(=O)C1=O
,,3188-13-4,CHLOROMETHYL ETHYL ETHER,,,,,,1.0,2.0,,1.0,1.0,0.0,0.0,1,1,0,0,",",CCOCCl
,,31969-03-6,"1-(2,3-XYLYLAZO)-2-NAPHTHOL",,,,,,0.0,4.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",Cc1cccc(N\N=C2/C(=O)C=Cc3ccccc23)c1C
,,31969-05-8,BUNOLOL HYDROCHLORIDE,,,,,,0.0,4.0,PHARMACEUTICAL,0.0,0.0,1.0,1.0,0,0,1,1,"PHARMACEUTICAL,",[H+].[Cl-].CC(C)(C)NCC(O)COc1cccc2C(=O)CCCc12
,,3198-23-0,CYCLOHEXANECARBOXYLATE,,,,,,0.0,1.0,,0.0,0.0,1.0,0.0,0,0,1,0,",",[O-]C(=O)C1CCCCC1
,,3198-41-2,"1,2,3,4-TETRAHYDRO-5-AMINOACRIDINE",,,,,,1.0,2.0,,1.0,1.0,0.0,0.0,1,1,0,0,",",Nc1cccc2cc3CCCCc3nc12
,,320-51-4,2-CHLORO-5-AMINOBENZOTRIFLUORIDE,,,,,,0.0,10.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",Nc1ccc(Cl)c(c1)C(F)(F)F
,,32017-76-8,P-BROMOSTYRENE OXIDE,,,,,,1.0,1.0,,1.0,0.0,0.0,0.0,1,0,0,0,",",Brc1ccc(cc1)C2CO2
,,32064-64-5,METHYLHYDRAZINE OXALATE,,,,,,0.5,4.0,,0.0,0.0,0.0,0.0,0,0,0,0,",",CNN.OC(=O)C(O)=O
,,3208-16-0,2-ETHYLFURAN,,,,,,0.09523809523809523,21.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",CCc1occc1
,,3209-22-1,"2,3-DICHLORONITROBENZENE",,,,,,0.0,13.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",[O-][N+](=O)c1cccc(Cl)c1Cl
,,321-14-2,5-CHLOROSALICYLIC ACID,,,,,,0.0,2.0,,0.0,0.0,1.0,0.0,0,0,1,0,",",OC(=O)c1cc(Cl)ccc1O
